Formula_ID,Notes,rHDPE (%),Virgin HDPE (%),Filler_1,F1_Content (%),F1_Supplier,F1_Functional Class,Filler_2,F2_Content (%),F2_Supplier,F2_Functional Class,Filler_3,F3_Content (%),F3_Supplier,F3_Functional Class,Additive_1,A1_Content (%),A1_Supplier,A1_Functional Class,Additive_2,A2_Content (%),A2_Supplier,A2_Functional Class,Additive_3,A3_Content (%),A3_Supplier,A3_Functional Class,Density (g/cc),Shore hardness (D),Melt Flow Index (g/10 min),Intrinsic Viscosity (dL/g),Tensile Strength (MPa),Young's Modulus (GPa),Elongation at Break (%),Impact Strength (kJ/m²),Haze (%),Crystallinity (%),Glass Transition Temp (°C),Melting Temp (°C),Degradation Temp (°C),OIT @200°C (min),WVTR (g/m²/day),OTR (cc/m²/day),Shrinkage (ASTM D955) (%),FTIR Peak 1 (cm⁻¹),FTIR Peak 2 (cm⁻¹),Cost ($/kg),Cost ($/lb),CO2 Equivalent (kg CO2/kg),kg produced annually,Processing Recommendations,F1_Safety,F2_Safety,F3_Safety,A1_Safety,A2_Safety,A3_Safety,Safety Summary
rHDPE_0011,Generated,85.539,14.092,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.079,BASF,primary_antioxidant,Irgafos 168,0.14,BASF,secondary_antioxidant,0.95211,66.9,8.9992,0.5311,27.216,1.0923,1716.8,8.073,99.7,57.79,-119.1,128.2,385.0,19.8,0.35,250.0,1.779,2915,2848,1.224,0.555,0.814,"3,390,266,428","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,Hydrolysis-sensitive; keep dry; PPE.,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0012,Generated,82.778,16.997,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.075,BASF,primary_antioxidant,,0.0,,,0.95001,67.4,11.7061,0.5245,26.426,1.0785,1618.0,8.073,91.9,58.9,-117.7,131.1,373.2,15.1,0.35,250.0,1.89,2915,2848,1.21,0.549,0.808,"3,503,346,300","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0013,Generated,94.774,2.047,Talc,3.029,Imerys,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,,0.0,,,,0.0,,,0.953,68.1,11.3859,0.5265,30.582,1.05,1232.3,8.005,91.3,60.14,-123.1,130.4,373.7,12.4,0.3408,240.92,1.992,2915,2848,1.18,0.535,0.871,"660,283,922","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Mineral dust; PPE; choose low-impurity grades.,,,May bloom; slippery surfaces.,,,Talc: Mineral dust; PPE; choose low-impurity grades. | Slip (Erucamide): May bloom; slippery surfaces.
rHDPE_0014,Generated,78.059,21.678,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.113,BASF,secondary_antioxidant,,0.0,,,0.9513,69.0,9.2567,0.5341,25.654,1.0266,1587.3,8.073,96.2,61.7,-119.1,131.7,382.8,10.5,0.35,250.0,2.17,2915,2848,1.205,0.546,0.809,"3,715,138,549","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,,Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0015,Generated,73.946,3.499,Calcium Carbonate,22.223,Omya,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1076,0.182,BASF,primary_antioxidant,,0.0,,,0.95237,65.9,11.1269,0.5239,33.538,1.3454,1693.6,7.851,96.8,56.89,-118.1,128.0,379.0,13.6,0.3039,219.01,1.505,2915,2848,2.675,1.213,1.302,"89,996,850","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,,,May bloom; slippery surfaces.,Avoid dust inhalation; food-contact grades available.,,Calcium Carbonate: Dust; food-contact grades available. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1076: Avoid dust inhalation; food-contact grades available.
rHDPE_0016,Generated,78.173,3.746,Calcium Carbonate,17.812,Omya,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.119,BASF,secondary_antioxidant,,0.0,,,0.95467,68.0,8.8763,0.5341,29.088,1.3083,1513.1,7.9,99.9,60.31,-116.3,128.2,362.0,11.8,0.3139,225.77,1.889,2915,2848,2.372,1.076,1.201,"112,283,854","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,,Calcium Carbonate: Dust; food-contact grades available. | Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0017,Generated,66.301,15.464,Calcium Carbonate,17.893,Omya,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.192,BASF,primary_antioxidant,,0.0,,,0.95115,65.3,9.3412,0.5277,31.29,1.2667,1172.5,7.9,93.7,55.6,-121.4,131.7,384.3,10.9,0.3137,225.65,1.417,2915,2848,2.393,1.085,1.208,"111,775,555","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Calcium Carbonate: Dust; food-contact grades available. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0018,Generated,57.573,19.596,Calcium Carbonate,22.273,Omya,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.196,BASF,primary_antioxidant,Irgafos 168,0.212,BASF,secondary_antioxidant,0.95065,69.1,9.157,0.5355,34.693,1.3747,1623.6,7.85,98.9,62.71,-116.9,129.1,378.0,12.6,0.3038,218.93,2.087,2915,2848,2.695,1.222,1.313,"89,794,819","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,Hydrolysis-sensitive; keep dry; PPE.,Calcium Carbonate: Dust; food-contact grades available. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0019,Generated,78.101,7.785,Talc,13.881,Imerys,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.083,BASF,primary_antioxidant,,0.0,,,0.95237,66.9,8.1884,0.535,30.194,1.257,1411.5,7.736,99.2,58.33,-118.2,131.5,361.8,10.5,0.3071,209.25,1.725,2915,2848,1.105,0.501,1.114,"144,081,838","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Mineral dust; PPE; choose low-impurity grades.,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Talc: Mineral dust; PPE; choose low-impurity grades. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0020,Generated,87.164,1.339,Talc,11.206,Imerys,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1076,0.141,BASF,primary_antioxidant,,0.0,,,0.95223,68.5,8.9418,0.5348,27.557,1.2123,1668.4,7.806,94.0,61.22,-119.6,130.9,376.2,17.3,0.3155,216.94,2.036,2915,2848,1.136,0.515,1.058,"178,475,817","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Mineral dust; PPE; choose low-impurity grades.,,,May bloom; slippery surfaces.,Avoid dust inhalation; food-contact grades available.,,Talc: Mineral dust; PPE; choose low-impurity grades. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1076: Avoid dust inhalation; food-contact grades available.
rHDPE_0021,Generated,76.444,23.248,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.158,BASF,primary_antioxidant,,0.0,,,0.9515,67.0,9.6336,0.5292,26.478,1.0402,1276.4,8.073,96.2,58.09,-120.8,131.8,373.7,19.8,0.35,250.0,1.809,2915,2848,1.22,0.554,0.812,"3,793,626,707","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0022,Generated,89.694,10.042,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.114,BASF,secondary_antioxidant,,0.0,,,0.95221,69.0,10.0447,0.5316,29.799,1.0794,1641.6,8.073,90.9,61.76,-118.4,129.1,373.3,16.9,0.35,250.0,2.176,2915,2848,1.211,0.549,0.809,"3,233,215,154","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,,Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0023,Generated,91.326,8.22,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.057,BASF,primary_antioxidant,Irgafos 168,0.247,BASF,secondary_antioxidant,0.95306,69.6,9.8217,0.5332,27.878,1.0886,1631.0,8.073,98.9,62.68,-119.9,129.6,355.2,18.8,0.35,250.0,2.268,2915,2848,1.233,0.559,0.817,"3,175,437,444","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,Hydrolysis-sensitive; keep dry; PPE.,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0024,Generated,73.543,7.659,Talc,18.514,Imerys,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.134,BASF,primary_antioxidant,,0.0,,,0.95112,66.0,9.7119,0.528,32.715,1.2955,1270.4,7.608,94.8,57.06,-117.4,129.9,378.9,19.6,0.2924,196.14,1.557,2915,2848,1.076,0.488,1.218,"108,026,358","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Mineral dust; PPE; choose low-impurity grades.,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Talc: Mineral dust; PPE; choose low-impurity grades. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0025,Generated,83.862,15.607,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1076,0.163,BASF,primary_antioxidant,Irgafos 168,0.218,BASF,secondary_antioxidant,0.95139,69.6,9.9384,0.533,27.199,1.0239,1628.1,8.073,91.5,62.78,-122.3,129.3,381.3,12.2,0.35,250.0,2.278,2915,2848,1.241,0.563,0.822,"3,458,062,054","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Avoid dust inhalation; food-contact grades available.,Hydrolysis-sensitive; keep dry; PPE.,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1076: Avoid dust inhalation; food-contact grades available. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
